year,Vessel Type,Country,CO2eq
2011,Fishing,Kiribati,93168
2011,Fishing,Marshall Islands,8823
2011,Fishing,Micronesia,43947
2011,Fishing,Nauru,12745
2011,Fishing,Niue,29
2011,Fishing,Palau,2179
2011,Fishing,Papua New Guinea,70871
2011,Fishing,Samoa,168
2011,Fishing,Solomon Islands,43200
2011,Fishing,Tokelau,799
2011,Fishing,Tonga,120
2011,Fishing,Tuvalu,10921
2011,Fishing,Vanuatu,220
2011,Others,Cook Islands,9937
2011,Others,Fiji,19297
2011,Others,Kiribati,18168
2011,Others,Marshall Islands,5420
2011,Others,Micronesia,29639
2011,Others,Nauru,2329
2011,Others,Niue,1762
2011,Others,Palau,7294
2011,Others,Papua New Guinea,41984
2011,Others,Samoa,944
2011,Others,Solomon Islands,10994
2011,Others,Tokelau,2376
2011,Others,Tonga,9263
2011,Others,Tuvalu,2330
2011,Others,Vanuatu,7067
2011,Passenger,Cook Islands,15988
2011,Passenger,Fiji,32878
2011,Passenger,Kiribati,13358
2011,Passenger,Marshall Islands,1268
2011,Passenger,Micronesia,5102
2011,Passenger,Niue,2276
2011,Passenger,Palau,782
2011,Passenger,Papua New Guinea,26280
2011,Passenger,Samoa,2352
2011,Passenger,Solomon Islands,2718
2011,Passenger,Tokelau,1979
2011,Passenger,Tonga,13166
2011,Passenger,Tuvalu,80
2011,Passenger,Vanuatu,39041
2011,Tanker,Cook Islands,12536
2011,Tanker,Fiji,36065
2011,Tanker,Kiribati,31900
2011,Tanker,Marshall Islands,17713
2011,Tanker,Micronesia,116890
2011,Tanker,Nauru,4029
2011,Tanker,Niue,4956
2011,Tanker,Palau,37043
2011,Tanker,Papua New Guinea,341432
2011,Tanker,Samoa,2494
2011,Tanker,Solomon Islands,39882
2011,Tanker,Tokelau,1555
2011,Tanker,Tonga,10775
2011,Tanker,Tuvalu,3969
2011,Tanker,Vanuatu,10431
2012,Cargo,Cook Islands,102523
2012,Cargo,Fiji,87783
2012,Cargo,Kiribati,145250
2012,Cargo,Marshall Islands,75697
2012,Cargo,Micronesia,1565420
2012,Cargo,Nauru,7448
2012,Cargo,Niue,22577
2012,Cargo,Palau,362591
2012,Cargo,Papua New Guinea,3860118
2012,Cargo,Samoa,7612
2012,Cargo,Solomon Islands,177365
2012,Cargo,Tokelau,8793
2012,Cargo,Tonga,32388
2012,Cargo,Tuvalu,20490
2012,Cargo,Vanuatu,40698
2012,Fishing,Cook Islands,1673
2012,Fishing,Fiji,1973
2012,Fishing,Kiribati,124812
2012,Fishing,Marshall Islands,14311
2012,Fishing,Micronesia,56499
2012,Fishing,Nauru,9887
2012,Fishing,Niue,91
2012,Fishing,Palau,3122
2012,Fishing,Papua New Guinea,54916
2012,Fishing,Samoa,420
2012,Fishing,Solomon Islands,22853
2012,Fishing,Tokelau,2197
2012,Fishing,Tonga,271
2012,Fishing,Tuvalu,15997
2012,Fishing,Vanuatu,610
2012,Others,Cook Islands,14855
2012,Others,Fiji,32796
2012,Others,Kiribati,35533
2012,Others,Marshall Islands,9137
2012,Others,Micronesia,39899
2012,Others,Nauru,4397
2012,Others,Niue,4293
2012,Others,Palau,6531
2012,Others,Papua New Guinea,57092
2012,Others,Samoa,2167
2012,Others,Solomon Islands,12917
2012,Others,Tokelau,2476
2012,Others,Tonga,13211
2012,Others,Tuvalu,8876
2012,Others,Vanuatu,13090
2012,Passenger,Cook Islands,14300
2012,Passenger,Fiji,47877
2012,Passenger,Kiribati,21278
2012,Passenger,Marshall Islands,616
2012,Passenger,Micronesia,6223
2012,Passenger,Niue,1843
2012,Passenger,Palau,605
2012,Passenger,Papua New Guinea,28616
2012,Passenger,Samoa,4608
2012,Passenger,Solomon Islands,2685
2012,Passenger,Tokelau,3278
2012,Passenger,Tonga,16486
2012,Passenger,Tuvalu,769
2012,Passenger,Vanuatu,53409
2012,Tanker,Cook Islands,15604
2012,Tanker,Fiji,31760
2012,Tanker,Kiribati,36343
2012,Tanker,Marshall Islands,18878
2012,Tanker,Micronesia,121380
2012,Tanker,Nauru,5857
2012,Tanker,Niue,5557
2012,Tanker,Palau,42925
2012,Tanker,Papua New Guinea,335969
2012,Tanker,Samoa,1807
2012,Tanker,Solomon Islands,34154
2012,Tanker,Tokelau,1065
2012,Tanker,Tonga,10459
2012,Tanker,Tuvalu,3651
2012,Tanker,Vanuatu,8827
2013,Cargo,Cook Islands,96513
2013,Cargo,Fiji,99784
2013,Cargo,Kiribati,137651
2013,Cargo,Marshall Islands,82885
2013,Cargo,Micronesia,1634253
2013,Cargo,Nauru,10187
2013,Cargo,Niue,17993
2013,Cargo,Palau,355299
2013,Cargo,Papua New Guinea,3973520
2013,Cargo,Samoa,6826
2013,Cargo,Solomon Islands,197363
2013,Cargo,Tokelau,10388
2013,Cargo,Tonga,35360
2013,Cargo,Tuvalu,13408
2013,Cargo,Vanuatu,47874
2013,Fishing,Cook Islands,1066
2013,Fishing,Fiji,3915
2013,Fishing,Kiribati,83295
2013,Fishing,Marshall Islands,16552
2013,Fishing,Micronesia,72614
2013,Fishing,Nauru,20248
2013,Fishing,Niue,178
2013,Fishing,Palau,5914
2013,Fishing,Papua New Guinea,116384
2013,Fishing,Samoa,331
2013,Fishing,Solomon Islands,49691
2013,Fishing,Tokelau,1931
2013,Fishing,Tonga,432
2013,Fishing,Tuvalu,11277
2013,Fishing,Vanuatu,518
2013,Others,Cook Islands,15543
2013,Others,Fiji,40319
2013,Others,Kiribati,19916
2013,Others,Marshall Islands,11242
2013,Others,Micronesia,32750
2013,Others,Nauru,3629
2013,Others,Niue,5159
2013,Others,Palau,6044
2013,Others,Papua New Guinea,50236
2013,Others,Samoa,2606
2013,Others,Solomon Islands,10594
2013,Others,Tokelau,2247
2013,Others,Tonga,14873
2013,Others,Tuvalu,5353
2013,Others,Vanuatu,13441
2013,Passenger,Cook Islands,17294
2013,Passenger,Fiji,55394
2013,Passenger,Kiribati,20787
2013,Passenger,Marshall Islands,910
2013,Passenger,Micronesia,5764
2013,Passenger,Nauru,0
2013,Passenger,Niue,2162
2013,Passenger,Palau,1059
2013,Passenger,Papua New Guinea,29523
2013,Passenger,Samoa,4168
2013,Passenger,Solomon Islands,3183
2013,Passenger,Tokelau,4404
2013,Passenger,Tonga,16056
2013,Passenger,Tuvalu,42
2013,Passenger,Vanuatu,63573
2013,Tanker,Cook Islands,13617
2013,Tanker,Fiji,29658
2013,Tanker,Kiribati,28723
2013,Tanker,Marshall Islands,19342
2013,Tanker,Micronesia,144401
2013,Tanker,Nauru,5656
2013,Tanker,Niue,3833
2013,Tanker,Palau,34741
2013,Tanker,Papua New Guinea,390912
2013,Tanker,Samoa,2194
2013,Tanker,Solomon Islands,35516
2013,Tanker,Tokelau,891
2013,Tanker,Tonga,10078
2013,Tanker,Tuvalu,2846
2013,Tanker,Vanuatu,10518
2014,Cargo,Cook Islands,100011
2014,Cargo,Fiji,83673
2014,Cargo,Kiribati,136094
2014,Cargo,Marshall Islands,95111
2014,Cargo,Micronesia,1544819
2014,Cargo,Nauru,10852
2014,Cargo,Niue,20250
2014,Cargo,Palau,398347
2014,Cargo,Papua New Guinea,3895345
2014,Cargo,Samoa,6262
2014,Cargo,Solomon Islands,188439
2014,Cargo,Tokelau,8880
2014,Cargo,Tonga,39267
2014,Cargo,Tuvalu,16023
2014,Cargo,Vanuatu,39303
2014,Fishing,Cook Islands,3035
2014,Fishing,Fiji,5312
2014,Fishing,Kiribati,197106
2014,Fishing,Marshall Islands,28871
2014,Fishing,Micronesia,70361
2014,Fishing,Nauru,26611
2014,Fishing,Niue,240
2014,Fishing,Palau,7436
2014,Fishing,Papua New Guinea,66795
2014,Fishing,Samoa,697
2014,Fishing,Solomon Islands,25018
2014,Fishing,Tokelau,4079
2014,Fishing,Tonga,415
2014,Fishing,Tuvalu,21489
2014,Fishing,Vanuatu,596
2014,Others,Cook Islands,14384
2014,Others,Fiji,44357
2014,Others,Kiribati,24649
