,year,month,Vessel Type,Country,CO2eq,Vessel
131,2009,2,Tanker,Tuvalu,432.0,3
132,2009,2,Tanker,Vanuatu,353.0,2
133,2009,3,Cargo,Cook Islands,7510.0,34
134,2009,3,Cargo,Fiji,5063.0,24
135,2009,3,Cargo,Kiribati,6992.0,55
136,2009,3,Cargo,Marshall Islands,3878.0,30
137,2009,3,Cargo,Micronesia,72217.0,387
138,2009,3,Cargo,Nauru,489.0,8
139,2009,3,Cargo,Niue,1254.0,10
140,2009,3,Cargo,Palau,16372.0,136
141,2009,3,Cargo,Papua New Guinea,180937.0,541
142,2009,3,Cargo,Samoa,479.0,10
143,2009,3,Cargo,Solomon Islands,9898.0,79
144,2009,3,Cargo,Tokelau,853.0,8
145,2009,3,Cargo,Tonga,1405.0,12
146,2009,3,Cargo,Tuvalu,1268.0,11
147,2009,3,Cargo,Vanuatu,2783.0,25
148,2009,3,Fishing,Cook Islands,24.0,2
149,2009,3,Fishing,Fiji,0.0,1
150,2009,3,Fishing,Kiribati,1085.0,22
151,2009,3,Fishing,Marshall Islands,603.0,18
152,2009,3,Fishing,Micronesia,995.0,22
153,2009,3,Fishing,Nauru,221.0,9
154,2009,3,Fishing,Papua New Guinea,1462.0,19
155,2009,3,Fishing,Solomon Islands,1355.0,21
156,2009,3,Fishing,Tokelau,13.0,1
157,2009,3,Fishing,Tuvalu,225.0,6
158,2009,3,Fishing,Vanuatu,6.0,1
159,2009,3,Others,Cook Islands,156.0,6
160,2009,3,Others,Fiji,561.0,8
161,2009,3,Others,Kiribati,1693.0,27
162,2009,3,Others,Marshall Islands,763.0,23
163,2009,3,Others,Micronesia,2904.0,69
164,2009,3,Others,Nauru,30.0,2
165,2009,3,Others,Niue,0.0,1
166,2009,3,Others,Palau,662.0,27
167,2009,3,Others,Papua New Guinea,4914.0,105
168,2009,3,Others,Samoa,25.0,4
169,2009,3,Others,Solomon Islands,1122.0,29
170,2009,3,Others,Tokelau,22.0,1
171,2009,3,Others,Tonga,115.0,4
172,2009,3,Others,Tuvalu,22.0,4
173,2009,3,Others,Vanuatu,219.0,6
174,2009,3,Passenger,Cook Islands,472.0,2
175,2009,3,Passenger,Fiji,3251.0,5
176,2009,3,Passenger,Kiribati,822.0,2
177,2009,3,Passenger,Micronesia,3628.0,6
178,2009,3,Passenger,Nauru,14.0,1
179,2009,3,Passenger,Palau,108.0,2
180,2009,3,Passenger,Papua New Guinea,2276.0,10
181,2009,3,Passenger,Samoa,636.0,3
182,2009,3,Passenger,Solomon Islands,122.0,3
183,2009,3,Passenger,Tokelau,323.0,1
184,2009,3,Passenger,Tonga,1144.0,4
185,2009,3,Passenger,Vanuatu,1724.0,3
186,2009,3,Tanker,Cook Islands,1119.0,7
187,2009,3,Tanker,Fiji,1914.0,7
188,2009,3,Tanker,Kiribati,1052.0,11
189,2009,3,Tanker,Marshall Islands,624.0,6
190,2009,3,Tanker,Micronesia,7117.0,35
191,2009,3,Tanker,Nauru,221.0,2
192,2009,3,Tanker,Niue,451.0,4
193,2009,3,Tanker,Palau,1378.0,15
194,2009,3,Tanker,Papua New Guinea,25103.0,89
195,2009,3,Tanker,Samoa,207.0,3
196,2009,3,Tanker,Solomon Islands,2058.0,15
197,2009,3,Tanker,Tonga,675.0,6
198,2009,3,Tanker,Tuvalu,44.0,1
199,2009,3,Tanker,Vanuatu,889.0,7
200,2009,4,Cargo,Cook Islands,5355.0,28
201,2009,4,Cargo,Fiji,3567.0,19
202,2009,4,Cargo,Kiribati,5989.0,48
203,2009,4,Cargo,Marshall Islands,3178.0,25
204,2009,4,Cargo,Micronesia,66921.0,380
205,2009,4,Cargo,Nauru,337.0,6
206,2009,4,Cargo,Niue,907.0,9
207,2009,4,Cargo,Palau,15427.0,139
208,2009,4,Cargo,Papua New Guinea,176590.0,548
209,2009,4,Cargo,Samoa,261.0,6
210,2009,4,Cargo,Solomon Islands,9980.0,76
211,2009,4,Cargo,Tokelau,89.0,1
212,2009,4,Cargo,Tonga,656.0,8
213,2009,4,Cargo,Tuvalu,51.0,3
214,2009,4,Cargo,Vanuatu,3379.0,29
215,2009,4,Fishing,Fiji,40.0,2
